symbol;name;issue_date;EPS;QuoteLast;Price200DayAverage;Price52WeekPercChange;PriceToBook;MarketCap;PE;DividendRecentQuarter;DividendNextQuarter;DPSRecentYear;IAD;DividendPerShare;DividendYield;Dividend;BookValuePerShareYear;CashPerShareYear;CurrentRatioYear;LTDebtToAssetsYear;LTDebtToAssetsQuarter;TotalDebtToAssetsYear;TotalDebtToAssetsQuarter;LTDebtToEquityYear;LTDebtToEquityQuarter;TotalDebtToEquityYear;TotalDebtToEquityQuarter;AINTCOV;ReturnOnInvestmentTTM;ReturnOnInvestment5Years;ReturnOnInvestmentYear;ReturnOnAssetsTTM;ReturnOnAssets5Years;ReturnOnAssetsYear;ReturnOnEquityTTM;ReturnOnEquity5Years;ReturnOnEquityYear;Beta;Float;InstitutionalPercentHeld;GrossMargin;EBITDMargin;OperatingMargin;NetProfitMarginPercent;NetIncomeGrowthRate5Years;RevenueGrowthRate5Years;RevenueGrowthRate10Years;EPSGrowthRate5Years;EPSGrowthRate10Years;Volume;AverageVolume;LGD
GMF;GPT Metro Office Fund;30/11/2014;0.4;0;2.33;20.57;1.08;0;0;0.08;0.04;0.15;0.11;0.15;4.28;27.73;2.33;0.03;0.54;28.61;28.61;28.61;28.61;42.5;42.5;42.5;42.5;0;12.47;0;12.47;12.05;0;12.05;18.13;0;18.13;0;128.53;0;83.83;71.4;71.4;149.22;0;0;0;0;0;0;11201;0.070241
WPP;WPP Aunz Ltd;31/01/2011;0.08;1.15;1.08;53.95;1.24;984240000;14.3;0.02;0.02;0.06;0.06;0.06;4.87;23.22;0.95;0.06;0.88;18.22;17.89;26.25;17.94;39.74;45.36;57.26;45.48;0;5.09;6.16;7.3;3.32;4.23;4.83;6.68;6.07;12.02;0.85;325.01;0;84.33;13.5;10.89;8.16;0;8.9;28.51;0;0;59930;577967;0.072312
MSP;MAXSEC FPO;31/03/2010;0;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;700000;627885;0.073499
JYC;Joyce Corporation Ltd;30/04/2011;0.06;1.59;1.3;61.67;1.78;43870000;24.62;0.03;0.03;0.06;0.06;0.06;3.77;3.59;0.89;0.58;1.82;0;0;0;0;0;0;0;0;61;11.9;7.47;11.9;8.2;5.87;8.2;7;7.8;7;0.83;7.76;0;45.72;10.43;9.3;6.1;14.85;27.96;37.93;14.62;0.91;3250;3725;0.072897
NAG;Nagambie Resources Ltd;30/06/2013;0;0.08;0.13;48.28;4.1;27990000;0;0;0;0;0;0;0;0;0.02;0;0.27;10.79;10.79;23.51;23.51;14.53;14.53;31.67;31.67;0.21;8.34;11.25;8.34;7.57;10.8;7.57;10.24;15.73;10.24;2.34;221.23;0;0;7.35;111.78;136.73;0;10.19;28.82;0;0;62793;190932;0.071791
MGU;Magnum Mining and Exploration Ltd.;31/08/2014;0;0.03;0.03;3.23;2.81;6890000;0;0;0;0;0;0;0;0;0.01;0;5.55;0;0;0;0;0;0;0;0;0;46.14;37.11;47.49;38.12;32.41;36.12;39.46;35.02;40.64;1.54;111.35;0;3356.76;321183.8;322202.7;322202.7;0;69.97;34.05;0;0;0;17126;0.071149
KLL;Kalium Lakes Ltd;30/04/2010;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50729;130222;0.073912
COJ;Commstrat Limited;31/10/2016;0.03;0;0.06;55.56;1.49;0;0;0;0;0;0;0;0;0;0.04;0.01;0.12;12.13;12.13;51.58;51.58;109.21;109.21;464.46;464.46;0.17;22.33;6.95;22.33;8.88;3.79;8.88;59.34;9.4;59.34;0.48;16.7;0;70.38;3.64;6.19;10.63;0;5.22;7;0;0;0;0;0.069848
AIO;Asciano Ltd;31/03/2010;0.28;0;8.02;8.82;1.97;0;0;0;0.87;0.13;0.13;0.13;1.57;126.4;4.2;0.21;1.19;42.6;42.6;42.61;42.61;91.26;91.26;91.27;91.27;3.38;3.5;4.16;3.5;3.11;3.7;3.11;6.77;8.02;6.77;0.62;481.53;0;93.66;27.27;16.5;7.65;10.01;3.19;0;10;0;0;2510000;0.074401
AQG;Alacer Gold Corp - CDI;28/02/2019;0;2.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211010;391680;0.068283
NWF;Newfield Resources Ltd;30/04/2013;0.02;0.27;0.35;64.71;2.38;60910000;0;0;0;0;0;0;0;0;0.11;0.04;9.37;0;0;0.12;0.12;0;0;0.13;0.13;0;19.53;0;19.53;18.78;0;18.78;19.56;0;19.56;0.34;51.52;0;118.93;478.47;661.79;646.35;0;0;0;0;0;0;11463;0.072392
SYA;Sayona Mining Ltd;31/05/2015;0;0.03;0.03;84.79;12.65;26610000;0;0;0;0;0;0;0;0;0;0;0.63;0;0;0;0;0;0;0;0;106.4;232.95;186.71;232.95;199.82;62.24;199.82;232.95;186.71;232.95;0;562.27;0;0;9433.8;9438.66;9527.39;0;74.27;5.62;0;0;1300000;2250000;0.071042
FOY;Foy Group Ltd;30/09/2017;0.03;0.12;0.12;0;0;5980000;0;0;0;0;0;0;0;0;0.21;0;0.06;0;0;2.25;2.25;0;0;2.54;2.54;105.66;9.58;26.25;9.58;8.47;17.11;8.47;9.58;28.23;9.58;3.5;4.63;0;0;1891.34;2681.97;2700.02;0;0.73;5.52;0;0;0;0;0.069802
IFL;IOOF Holdings Limited;31/10/2016;0.46;9.17;8.66;8.59;1.96;2750000000;20;0.26;0.26;0.54;0.54;0.54;5.99;171.13;4.64;0.62;0;7.55;7.55;7.55;7.55;14.89;14.89;14.89;14.89;81.24;5.28;4.54;5.28;5.07;4.32;5.07;10.02;9.58;10.02;1.45;240.56;0;65.94;26.41;20.45;14.6;6.75;5.76;9.17;1.34;2.49;685476;529172;0.070926
MUA;Mitula Group Ltd;30/11/2011;0.03;0.83;0.93;12.71;5.04;176930000;32;0;0;0;0;0;0;2.9;0.16;0.1;11.25;0;0;0;0;0;0;0;0;3.13;0;0;12.94;0;0;11.77;0;0;13.54;0;81.72;0;87.86;43.97;29.6;21.68;0;0;0;0;0;827504;135575;0.074595
KMM;Kara Minerals Ltd;30/04/2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.075551
CQO;Charter Hall Office Trust;30/11/2016;0.14;3.09;2.95;2.92;0.82;1520000000;22.78;0.11;0;0.2;0;0.22;0;72.3;3.76;0.34;1.42;12.31;21.07;23.62;21.07;21.4;32.38;41.08;32.38;2.35;2.61;0.09;3.78;2.18;0.08;3.13;3.56;0.14;5.47;1.97;423.46;0;61.73;76.68;34.09;34.29;22.2;2.3;9.32;35.66;14.77;0;0;0.071459
LLO;LION ONE CDI 1:1;31/08/2018;0;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4272;0.070151
CMW;Cromwell Group;30/06/2012;0.19;0.97;0.99;1.02;1.14;1710000000;5.15;0.04;0.02;0.08;0.06;0.08;6.02;130.9;0.86;0.02;0.53;38.85;38.85;43.36;43.36;74.54;74.54;83.19;83.19;0;13.12;6.66;13.12;12.06;6.27;12.06;23.59;12.92;23.59;0.98;1262.96;0;88.79;34.8;37.93;101.23;30.2;12.34;29.04;14.45;32.37;2370000;2490000;0.074749
AQJ;Aus Asia Minerals Ltd;31/01/2015;0.05;0;0;66.67;0;787720;0;0;0;0;0;0;0;0;0;0;0.18;0;0;95.01;95.01;0;0;0;0;29.05;0;289.02;0;599.44;104.54;599.44;0;475.37;0;1.29;477.95;0;0;30034.93;31763.6;32716.36;0;0;0;0;0;0;0;0.072717
WASN;WASABI DEF;31/01/2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.074835
ALY;Alchemy Resources Limited;31/08/2018;0;0.02;0.02;20;0.3;4620000;0;0;0;0;0;0;0;0;0.06;0.01;10.97;0;0;0;0;0;0;0;0;0;4;11.95;4;3.97;11.77;3.97;4;11.98;4;1.57;110.16;0;0;772.56;772.56;772.56;0;30.35;0;0;0;499054;380098;0.071273
QMG;Quay Magnesium Limited;29/02/2016;0.02;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0.03;0;0.58;0;0;27.87;27.87;0;0;48;48;14.91;43.92;34.17;43.92;32.48;30.63;32.48;43.92;34.17;43.92;1.21;169.65;0;6.02;47.01;47.01;50.16;0;0;0;0;0;0;0;0.07272
AVG;Australian Vintage Limited;30/06/2014;0.01;0.52;0.54;38.16;0.42;124590000;0;0.02;0.02;0.02;0.02;0.02;2.86;0;1.26;0.03;3.94;23.84;23.84;23.96;23.96;36.82;36.82;37;37;2.41;0.49;1.59;0.49;0.44;1.41;0.44;0.68;2.43;0.68;0.52;227.8;0;25.3;7.26;1.11;0.81;0;1.69;2.24;0;0;135381;88444;0.074191
PCP;Paramount Mining Corporation Ltd.;28/02/2014;0;0.01;0;0;0;7220000;0;0;0;0;0;0;0;0;0.01;0;0.04;0;0;23.83;23.83;0;0;33.27;33.27;4.22;32.88;113.86;32.88;23.06;57.5;23.06;31.73;109.19;31.73;0;305.52;0;0;3620000;4490000;4490000;0;72.08;56;0;0;0;0;0.074807
ADO;Anteo Diagnostics Ltd;30/06/2014;0.01;0.04;0.05;47.3;2.73;44220000;0;0;0;0;0;0;0;0;0.01;0;0.95;28.69;28.69;50.11;50.11;108.51;108.51;189.53;189.53;7.73;29.12;42.18;29.12;20.31;33.63;20.31;61.58;56.51;61.58;0.25;798.73;0;0;36.85;44.15;47.94;0;295.74;56.41;0;0;10360000;1950000;0.07513
RHI;Red Hill Iron Limited;30/09/2010;0.01;0.5;0.41;0;2.58;27290000;0;0;0;0;0;0;0;0;0.19;0;0.34;0;0;1.97;1.97;0;0;2.05;2.05;0;6.62;13.53;6.62;6.46;13.28;6.46;6.62;13.53;6.62;0.52;0.92;0;0;15804.25;15805.44;15805.67;0;53.57;25.76;0;0;20000;32149;0.078411
DCN;Dacian Gold Ltd;31/10/2019;0.17;2.5;2.88;220.99;26.14;365720000;0;0;0;0;0;0;0;0;0.1;0.07;2.88;0;0;0;0;0;0;0;0;705.92;159.23;0;159.23;135.36;0;135.36;185.86;0;185.86;0.07;91.79;0;0;6551.93;6625.81;6568.06;0;0;0;0;0;115921;264245;0.072013
ATP;Atlas Pearls and Perfumes Ltd;31/10/2016;0;0.04;0.04;2.63;0.63;16690000;17.41;0;0;0;0;0;0;0;0.06;0.01;1.75;0.1;0.1;12.14;12.14;0.13;0.13;16.36;16.36;0;3.71;0;3.71;2.94;0;2.94;3.89;0;3.89;0.57;182.78;0;55.78;5.94;15.12;5.25;0;0;0;0;0;0;52623;0.07439
BBL;Brisbane Broncos Limited;30/11/2016;0.03;0.42;0.37;33.33;1.54;41180000;13.89;0;0.01;0.01;0.01;0.01;1.63;0.49;0.3;0.22;2.4;0;0;0;0;0;0;0;0;0;9.93;6.65;8.98;7.8;5.16;6.86;10;6.7;9.04;0.08;4.99;0;0;10.36;10.36;7.08;21.18;8.76;6.74;21.18;0.83;10000;4285;0.074469
BBR;Bora Bora Resources Ltd;30/04/2011;0.04;0.05;0.06;7.39;0.58;2420000;0;0;0;0;0;0;0;0;0.08;0.03;13.11;0;0;0;0;0;0;0;0;811.96;34.28;0;34.28;33.63;0;33.63;28.52;0;28.52;0.42;32.99;0;0;645.96;1836.14;1836.95;0;0;0;0;0;0;9368;0.078661
AMB;Ambition Group Ltd;31/08/2015;0.01;0.17;0.17;5.56;0.86;11420000;22.76;0;0.01;0.01;0.01;0.01;5.88;0;0.2;0.1;1.9;0;0;0;0;0;0;0;0;0;2.22;1.27;7.3;1.25;0.75;4.1;4.24;1.53;9;0.09;10.2;0;39.47;1.92;0.89;0.26;10.29;1.83;9.38;11.87;13.09;0;3224;0.075822
GLL;Galilee Energy Ltd.;31/12/2017;0.04;0.11;0.08;13.4;1.7;16740000;0;0;0;0;0;0;0;0;0.06;0.06;43.64;0;0;0;0;0;0;0;0;0;43.81;23.55;43.81;42.82;23.09;42.82;47.03;24.06;47.03;0.2;96.18;0;0;1533.77;1593.4;1593.4;0;18;22.25;0;0;25000;43503;0.074733
MDV;Medivac Ltd;31/01/2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.97;0;0;74.05;74.05;0;0;0;0;11.78;219.03;37.59;219.03;99.07;31.08;99.07;219.03;41.4;219.03;0;827.92;0;0;61.2;237.74;237.74;0;0.12;0;0;0;0;0;0.075686
EFTN;EFTEL DEF;29/02/2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07582
GBX;GB Energy Ltd.;30/06/2011;0;0;0;0;3.79;4530000;0;0;0;0;0;0;0;0;0;0;17.94;0;0;0;0;0;0;0;0;0;37.74;46.36;37.74;36.7;44.21;36.7;37.74;46.36;37.74;0.69;392.22;0;0;8468.19;9597.71;9597.71;0;0;0;0;0;4790000;1520000;0.080077
TKLN;TRAKA RES DEF;30/06/2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.081411
CMC;China Magnesium Corp Ltd;31/07/2013;0.01;0.04;0.02;115;0.75;12030000;0;0;0;0;0;0;0;0;0.06;0.01;1.38;0;0;0;0;0;0;0;0;4.56;12.11;16.86;12.11;10.25;13.69;10.25;16.98;18.16;16.98;1.25;163.77;0;36.39;17071.72;16154.89;20631.45;0;52.46;0;0;0;12000;41616;0.079179
TTEN;TITAN DEF X OPT;31/10/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0778
CUV;Clinuvel Pharmaceuticals Limited;31/10/2014;0.07;7.96;5.91;194.44;21.03;379890000;0;0;0;0;0;0;0;0;0.38;0.29;8.73;0;0;0;0;0;0;0;0;0;21.72;50.01;21.72;18.67;43.09;18.67;21.51;50.02;21.51;0.43;38.84;0;0;47.54;47.54;44.87;0;25.3;19.32;0;0;1931;11660;0.078708
PPN;Planet Platinum Limited;30/06/2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0.3;0.01;0.51;0.15;0.15;31.67;0.15;0.25;0.25;52.47;0.25;1.76;2.32;2.74;2.32;1.44;2.21;1.44;2.39;3.73;2.39;0;32.48;0;87.54;23.26;7.78;5.43;11.18;4.52;44.57;10.12;11.49;0;0;0.076757
PIO;Pioneer Resources Ltd;30/04/2017;0;0.02;0.03;5.88;1.34;18680000;0;0;0;0;0;0;0;0;0.01;0.01;7.82;0;0;0;0;0;0;0;0;0;14.95;15.67;14.95;14.24;14.8;14.24;14.95;15.67;14.95;2.33;897.9;0;0;358.23;286.98;286.98;0;25.34;16.1;0;0;2410000;1630000;0.076991
BEG;Bluenergy Group Ltd;31/08/2017;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0.36;23.21;23.21;23.69;23.69;34.34;34.34;35.05;35.05;6.97;16.25;24.64;16.25;14.89;20.8;14.89;20.95;31.4;20.95;0;41.64;0;47.44;152.24;206.01;206.01;0;82.48;41.75;0;0;0;0;0.077128
USP;USSELECT UNITS;28/02/2015;0;1.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1283;0.078771
IMI;IM Medical Ltd;31/12/2012;0;0;0;0;0;1160000;0;0;0;0;0;0;0;0;0;0;0.14;0;0;523.45;523.45;0;0;0;0;19.23;0;278.4;0;602.14;90.82;602.13;0;278.57;0;0.82;1291.93;0;0;2490000;2490000;2620000;0;80.74;57.37;0;0;0;0;0.081845
GOE;GO Energy Group Ltd;30/09/2013;0.01;0.03;0.03;27.03;21.12;9740000;0;0;0;0;0;0;0;0;0;0;0.87;8.34;6.33;30.52;36.44;60.57;0;221.61;0;35.82;3405.73;45.48;288.01;152.66;30.59;110.01;0;48.59;443.19;1.83;250.37;0;6.18;17.13;19.13;18;0;7.83;8.86;0;0;0;0;0.081095
JKAN;JACKA RES DEF X OPT;31/03/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.076808
OCP;Oceania Capital Partners Ltd;31/05/2013;0.14;2.3;1.86;64.29;0.94;81030000;16.44;0;0;0;0;0;0;0;2.44;0.83;6.23;10.99;9.9;12.8;11.66;13.46;11.92;15.68;14.04;0;5.13;0;5.1;4.79;0;4.72;5.69;0;5.78;0.27;7.33;0;98.5;13.56;12.37;10.65;0;0;0;0;0;13630;3584;0.081562
SOF;Sofcom Limited;30/04/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.19;0;0;367.38;53.11;0;0;0;0;7.59;0;92.87;0;10.39;39.17;122.61;0;92.87;0;0;35.58;0;0;12.36;6.11;6.11;0;0;0;0;0;0;0;0.080367
QFX;Quickflix Ltd.;31/05/2014;0.01;0;0;0;0;2140000;0;0;0;0;0;0;0;0;0.01;0;0.17;0.38;0.53;111.89;175.48;0;0;0;0;23.19;0;0;0;145.57;83.7;99.53;0;0;0;3.66;2159.51;0;0;36.51;78.79;77.97;0;22.92;0;0;0;0;0;0.081283
ERX;Emperor Range Group Ltd;31/10/2013;0.01;0.08;0.13;0;2.13;1780000;0;0;0;0;0;0;0;0;0.04;0.01;2.99;0;0;0;0;0;0;0;0;6.2;0;0;12.94;0;0;11.82;0;0;13.98;0;4.25;0;0;0;0;0;0;0;0;0;0;0;0;0.082068
GBP;Global Petroleum Limited;31/03/2010;0.02;0.03;0.03;10;0.4;5270000;0;0;0;0;0;0;0;0;0.07;0.07;35.47;0;0;0;0;0;0;0;0;23.55;20.3;20.34;20.3;19.76;19.51;19.76;20.3;20.43;20.3;0.37;84.17;0;0;0;0;0;0;0;0;0;0;200010;50745;0.08449
ANW;Aus Tin Mining Ltd;31/05/2013;0;0.01;0.01;101.53;1.54;18230000;0;0;0;0;0;0;0;0;0.01;0;0.47;0;0;1.17;1.17;0;0;1.36;1.36;0;13.14;13.73;13.14;11.9;12.68;11.9;13.24;13.94;13.24;3.1;703.57;0;0;52015.29;53042.15;53210.33;0;49.98;0;0;0;4300000;2900000;0.082264
CHF;Charter Pacific Corporation Ltd;30/06/2014;0.01;0.02;0.02;20.83;0;4060000;3.27;0;0;0;0;0;0;0;0.03;0;0.03;0;0;812.66;812.66;0;0;0;0;0;0;1339.22;0;32.93;57.92;32.93;0;0;0;0.53;212.98;0;1288.68;3840.27;3863.07;3863.07;0;52.92;29.27;0;0;0;0;0.081505
MRC;Mineral Commodities Limited;31/03/2017;0.03;0.13;0.13;30;1.26;52640000;4.24;0;0.01;0;0.01;0.01;7.69;0;0.1;0.01;1.4;2.39;10.23;9.58;17.18;3.13;14.78;12.54;24.82;42.25;26.49;11.59;32.05;20.86;9.1;23.56;29.54;11.76;33.76;1.62;138.09;0;56.7;52.21;39.35;31.37;0;149.31;45.88;0;0;0;142097;0.079668
EML;Emerchants Ltd;31/01/2013;0;1.72;1.65;75.76;3.54;421940000;363.64;0;0;0;0;0;0;0;0.49;0.11;2.2;0;0;0;0;0;0;0;0;53.9;0.1;10.84;0.1;0.08;9.04;0.08;0.1;11.19;0.1;1.61;166.97;0;78.08;10.3;7.51;0.38;0;157.72;75.94;0;0;101499;177518;0.083097
EMB;Embelton Limited;31/05/2012;0.94;11;8.28;48.65;1.68;23740000;11.72;0.22;0.27;0.38;0.42;0.38;3.86;0.77;6.55;0.25;1.86;0;0;0;0;0;0;0;0;0;14.83;12.02;14.83;9.84;8.1;9.84;15.01;12.13;15.01;0.49;0.25;0;29.7;6.69;6.69;4.65;5.76;5.13;8.44;5.76;11.07;0;416;0.083914
EYE;Birimian Gold Ltd;31/07/2017;0.02;0;0.01;57.69;0.74;0;0;0;0;0;0;0;0;0;0.01;0;5.39;0;0;0;0;0;0;0;0;0;26.58;20.28;12.29;25.67;19.69;11.73;27.37;20.83;12.8;0.64;537.29;0;0;2706.64;3094.13;3084.07;0;26.35;0;0;0;0;815864;0.080132
AMT;Allegra Orthopaedics Ltd;31/01/2013;0.03;0.15;0.14;0;4.44;10970000;0;0;0;0;0;0;0;0;0.03;0.02;1.57;0.79;0.79;19.61;19.61;1.84;1.84;45.82;45.82;43.11;62.21;15.79;62.21;33.09;8.74;33.09;64.25;19.65;64.25;0;16.62;0;58.92;48.39;58.64;40.57;0;7.4;1.16;0;0;0;2750;0.083558
GMMN;GEN MINING DEF;31/12/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.082281
IDL;Industrea Ltd.;31/05/2019;0.04;0;1.17;5.42;1.44;0;0;0;0;0.01;0;0.01;0;8.72;0.88;0.09;1.22;25.33;25.33;35.51;35.36;52.95;52.95;74.23;73.93;3.6;2.67;9.35;2.67;2.12;7.03;2.12;4.12;16.31;4.12;2.38;331.72;0;54.65;30.94;12.76;3.57;6.45;41.51;50.17;16.59;0;0;528027;0.079581
EOS;Electro Optic Systems Hldg Ltd;30/06/2019;0.08;1.92;1.49;50;28.86;109140000;23.54;0;0;0;0;0;0;0;0.07;0.21;1.19;0;0;0;0;0;0;0;0;0;148.54;27.25;109.1;21.47;8.23;15.28;163.35;29.14;126.7;1.08;27.57;0;55.53;5.59;5.22;13.61;0.92;2.05;2.35;0.92;0;42180;47347;0.079642
RFT;Rectifier Technologies Limited;31/01/2017;0;0.02;0.02;266.67;7.15;28690000;17.36;0;0;0;0;0;0;0;0;0;2.84;0.3;0.3;0.47;0.47;0.45;0.45;0.7;0.7;303.96;57.02;19.42;57.02;31.42;5.38;31.42;58.27;21.92;58.27;2.08;237.16;0;65.85;7.22;6.61;22.08;63.37;5.44;1.31;57;0;250000;596222;0.081725
BPA;Brookfield Prime Property Fund;31/03/2014;3.05;6.4;6.27;27.49;0.84;313790000;2.09;0.12;0.06;0;0.24;0.14;3.75;4.9;7.62;1.04;0.17;0;0;45.3;45.3;0;0;85.12;85.12;0;23.09;6.38;23.09;17.95;6;17.95;41.23;17.16;41.23;0.06;35.39;0;72.35;55.82;356.57;447.16;31.88;18.38;24.12;32.63;125.72;0;3110;0.084213
SVW;Seven Group Holdings Ltd;31/08/2018;0.61;7.42;7.38;52.32;0.95;2090000000;12.11;0.2;0.2;0.4;0.4;0.4;5.31;139.5;9.44;1.3;1.89;28.95;28.95;33.16;33.16;57.02;57.02;65.31;65.31;0;4.48;3.44;4.48;3.73;2.81;3.73;7.49;5.12;7.49;1.53;70.86;0;32.94;9.05;10.65;6.88;36.66;2.11;0;38.56;0;239501;256904;0.081435
LIO;Lion Energy Ltd.;31/10/2013;0.02;0.06;0.06;21.25;0.39;6820000;0;0;0;0;0;0;0;0;0.16;0.03;3.98;0;0;0;0;0;0;0;0;0;11.4;0;0;10.68;0;0;11.4;0;0;3.76;21.42;0;29.97;118.18;168.61;165.67;0;0;0;0;0;0;95472;0.085688
QMS;QMS Media Ltd;30/04/2010;0.05;1.1;1.21;8.47;1.9;353070000;22.8;0.02;0.02;0.02;0.02;0.02;1.39;0;0.57;0.05;1.29;5.87;5.87;7.39;7.39;8.27;8.27;10.41;10.41;38.24;8.2;0;8.2;6.76;0;6.76;9.64;0;9.64;0;233.68;0;52.56;26.19;17.12;11.89;0;0;0;0;0;218547;390504;0.088229
SWK;Swick Mining Services Ltd;30/11/2014;0.01;0.31;0.22;172.73;0.73;65470000;0;0;0;0;0;0;1.33;0;0.41;0.02;2.04;15.25;15.25;15.34;15.34;22.82;22.82;22.96;22.96;1.75;2.49;0.36;2.49;2.07;0.3;2.07;2.99;0.46;2.99;1.01;103.57;0;79.82;10.82;2.01;2.27;0;2.85;20.35;0;0;70908;275195;0.085201
HRS;Hudson Resources Limited;30/04/2014;0.03;0;0;0;0.19;0;0;0;0;0;0;0;0;0;0.16;0.02;1.21;3.31;3.31;3.5;3.5;9.38;9.38;9.92;9.92;0;13.6;14.42;13.6;5.13;7.01;5.13;21.07;2.74;21.07;0;16.54;0;80.17;527.39;175.11;175.11;76.62;18.82;9.5;75.52;23.92;0;18867;0.085516
SDL;Sundance Resources Limited;30/06/2014;0.03;0;0;57.14;0.19;18720000;0;0;0;0;0;0;0;0;0.02;0;0.61;54.44;54.44;56.45;56.45;95.06;95.06;98.57;98.57;0.79;57.81;24.23;57.81;55.61;23.62;55.61;75.52;24.44;75.52;1.51;3522.16;0;0;11465.53;82374.17;97196.62;0;47.01;20.4;0;0;314500;4500000;0.085567
HAR;Haranga Resources Ltd;30/11/2018;0;0;0;60;0.04;1450000;0;0;0;0;0;0;0;0;0.07;0;0.59;0;0;0;0;0;0;0;0;363.66;3.02;14.04;5.53;2.93;13.57;5.41;2.94;13.62;5.44;1.92;127.89;0;0;2799.04;2872.99;2874.42;0;42.83;0;0;0;35000;53978;0.082685
RFN;Reffind Ltd;30/04/2013;0.09;0.04;0.09;93.94;1.19;2330000;0;0;0;0;0;0;0;0;0.03;0.04;3.84;0;0;0;0;0;0;0;0;0;315.91;0;315.91;238.6;0;238.6;315.91;0;315.91;0;0.57;0;0;737.07;2015.73;1568.8;0;0;0;0;0;0;108138;0.086951
BPG;Byte Power Group Limited;31/05/2018;0;0;0;0;0;2240000;0;0;0;0;0;0;0;0;0;0;0.46;86.38;86.38;90.99;90.99;0;0;0;0;0.47;0;0;0;22.5;19.78;22.5;0;0;0;0.92;681.15;0;40.16;6.85;24.55;24.56;0;53.75;5.35;0;0;0;183333;0.08308
ACO;Australian Careers Network Ltd;30/04/2018;0.22;3.43;3.43;0;0;287260000;15.82;0.13;0.13;0.13;0.13;0.13;3.79;0;0.8;0.07;2.41;0.68;0.68;0.89;0.89;0.94;0.94;1.23;1.23;318.24;0;0;44.97;0;0;33.91;0;0;50.17;0;60.41;0;0;36.31;28.73;20.58;0;0;0;0;0;0;0;0.083304
PSFN;PACIFICORE DEF X OPT;31/12/2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.090023
APC;Goldphyre Resources Ltd;31/05/2011;0.04;0.12;0.09;76.92;24.56;26570000;0;0;0;0;0;0;0;0;0;0;5.42;0;0;0;0;0;0;0;0;0;1102.58;212.12;1102.58;828.41;189.47;828.41;1102.58;212.12;1102.58;2.82;139.86;0;0;28510;28510;27997.04;0;0;0;0;0;1730000;451473;0.089919
AUC;Ausgold Ltd;30/04/2017;0.02;0.03;0.04;12.9;0.32;11560000;0;0;0;0;0;0;0;0;0.11;0;0.75;0;0;0;0;0;0;0;0;235.12;12.23;12.1;12.23;12.16;11.84;12.16;12.41;12.14;12.41;1.38;261.41;0;0;35472.99;124728.2;124881.3;0;59.04;0;0;0;120000;409815;0.085011
