symbol;name;issue_date;EPS;QuoteLast;Price200DayAverage;Price52WeekPercChange;PriceToBook;MarketCap;PE;DividendRecentQuarter;DividendNextQuarter;DPSRecentYear;IAD;DividendPerShare;DividendYield;Dividend;BookValuePerShareYear;CashPerShareYear;CurrentRatioYear;LTDebtToAssetsYear;LTDebtToAssetsQuarter;TotalDebtToAssetsYear;TotalDebtToAssetsQuarter;LTDebtToEquityYear;LTDebtToEquityQuarter;TotalDebtToEquityYear;TotalDebtToEquityQuarter;AINTCOV;ReturnOnInvestmentTTM;ReturnOnInvestment5Years;ReturnOnInvestmentYear;ReturnOnAssetsTTM;ReturnOnAssets5Years;ReturnOnAssetsYear;ReturnOnEquityTTM;ReturnOnEquity5Years;ReturnOnEquityYear;Beta;Float;InstitutionalPercentHeld;GrossMargin;EBITDMargin;OperatingMargin;NetProfitMarginPercent;NetIncomeGrowthRate5Years;RevenueGrowthRate5Years;RevenueGrowthRate10Years;EPSGrowthRate5Years;EPSGrowthRate10Years;Volume;AverageVolume;LGD
ZHE;Zheng He Global Capital Ltd;31/08/2010;0.06;0.08;0.09;0;12.62;28540000;0;0;0;0;0;0;0;0;0.01;0.01;1.8;0;0;0;0;0;0;0;0;867.6;165.29;0;165.29;149.12;0;149.12;164.9;0;164.9;0;305.09;0;0;1236.63;1242.24;1242.24;0;0;0;0;0;0;0;0.967504
BMBDA;BALAMARA DEF SET;28/02/2019;0;0.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.887795
KGL;KGL Resources Ltd;28/02/2017;0.01;0.25;0.21;172.22;1.18;43250000;0;0;0;0;0;0;0;0;0.21;0.01;3.2;0;0;0;0;0;0;0;0;692.95;7.65;9.46;7.92;7.44;8.77;7.71;7.65;9.21;7.92;3.09;111.84;0;0;1315.19;1378.04;1382.89;0;15.51;0;0;0;1355;50169;0.906133
AVM;Anvil Mining Ltd (CDI);31/08/2013;0.26;7.45;6.73;27.35;1.45;1180000000;28.21;0;0;0;0;0;0;0;5.14;0.5;2.47;4.71;3.84;5.4;5.74;5.43;4.58;6.23;6.85;0;6.36;3.25;2.74;5.9;2.99;2.63;7.1;2.86;3.48;1.34;97.8;0;47.96;30.74;38.49;37.11;21.62;0.55;0;12.59;0;0;0;0.941952
EOL;Energy One Limited;30/11/2018;0.02;0.38;0.35;5;1.32;7200000;15.25;0.01;0.01;0.01;0.01;0.01;2.63;0;0.29;0.12;2.13;0;0;0;0;0;0;0;0;0;7.91;1.54;7.91;5.9;1.19;5.9;9.29;1.7;9.29;0.02;3.73;0;99.08;28.94;20.07;9.89;0;1.93;13.79;0;17.51;0;1807;0.897793
MJC;Mejority Capital Ltd;31/03/2016;0.03;0.01;0.03;84.27;0.32;1190000;0;0;0;0;0;0;0;0;0.04;0.06;2.91;5.17;5.17;5.17;5.17;8.15;8.15;8.15;8.15;0.27;40.08;28.75;40.08;33.35;25.08;33.35;47.63;34.88;47.63;0;23.46;0;45.17;39.93;55.15;197.9;0;0;19.21;0;0;0;41823;0.915606
SPG;IndoPac Holdings Ltd;30/09/2014;0;0;0;0;0;4380000;0;0;0;0;0;0;0;0;0;0;0.01;0;0;5636.66;5636.66;0;0;0;0;1.28;0;0;0;1506.76;159.17;1506.72;0;0;0;0;90.7;0;0;1230000;1230000;2200000;0;91.83;0;0;0;0;0;0.933562
HIT;HiTech Group Australia Limited;31/10/2012;0.07;0.57;0.46;81.67;2.84;19890000;8.13;0;0.02;0;0.02;0;3.67;0;0.19;0.16;3.61;0;0;0;0;0;0;0;0;8.72;44.59;20.9;44.59;31.65;15.45;31.65;44.76;20.95;44.76;1.07;7.64;0;21.3;13.94;17.05;11.88;27.35;15.87;14.3;27.34;56.6;33500;13283;0.951885
MHM;MHM Metals Ltd;31/07/2015;0.03;0.04;0.03;250;1.32;4770000;1.03;0;0;0;0;0;0;0;0.03;0.01;1.88;0;0;0;0;0;0;0;0;0;63.23;34.74;57.3;51.73;31.31;42.72;63.23;35.33;57.32;1.26;82.1;0;90.27;102.94;154.53;291.62;0;3.09;0;0;0;0;0;0.925259
AYS;Amaysim Australia Ltd;31/01/2018;0.06;2.1;1.95;34.37;11.83;389900000;34.25;0.05;0.05;0.08;0.07;0.08;3.21;5.35;0.18;0.07;0.34;0;0;0;0;0;0;0;0;695.73;51.2;0;51.2;14.52;4.03;14.52;82.87;0;82.87;0;155.33;0;33.83;14.14;7.97;4.84;0;121.08;0;0;0;407181;465129;0.899327
